name,country,boulder_points,lead_points,combined_points
zach GALLA,USA,16.0,0.0,0.0
dragoș gabriel FLUERARU,ROU,16.0,0.0,0.0
seungchan CHOI,KOR,15.3,11.0,26.3
james POPE,GBR,15.0,15.0,15.0
wan tong LOK,MAC,14.8,11.0,25.8
sungjoon CHAE,KOR,14.8,0.0,0.0
ilja AUERSPERG,AUT,13.5,0.0,0.0
christopher COSSER,RSA,13.5,0.0,0.0
călin ENACHE,ROU,13.3,0.0,0.0
ali SALIMIAN,IRI,13.0,5.0,18.0
felipe HO FOGANHOLO,BRA,12.0,65.5,77.5
finlay CATE,NZL,12.0,0.0,0.0
peter KURIC,SVK,11.5,5.0,16.5
pietro BIAGINI,ITA,11.5,0.0,0.0
leonardo MAGALLANES TEJADA,MEX,11.0,0.0,0.0
jonas KÖRNER,GER,10.5,0.0,0.0
qun tao KE,MAS,10.3,26.0,33.3
sungbo SEO,KOR,10.0,0.0,0.0
ziqi XU,CHN,10.0,0.0,0.0
theis lindegren ELFENBEIN,DEN,9.0,0.0,0.0
mikel PAZ Y PUENTE HOFMANN,MEX,9.0,0.0,0.0
alexander t CVETKOVSKI,AUS,9.0,0.0,0.0
dohyeon KIM,KOR,8.7,0.0,0.0
yongchen CHEN,CHN,8.5,26.0,34.5
hossein FAMILROHANI,IRI,8.5,6.0,14.5
julian SCHRITTWIESER,AUT,8.0,0.0,0.0
kenu PUERTA WONG,PER,7.0,0.0,0.0
auswin AUEAREECHIT,THA,7.0,47.0,54.0
tzu-yu CHOU,TPE,7.0,15.0,22.0
nathan SATO,USA,6.0,334.0,323.0
alexandre NOËL,BEL,6.0,8.0,14.0
tyler BERGIN,AUS,6.0,0.0,0.0
chuluunbaatar MANDAKHBAYAR,MGL,5.8,7.0,12.8
sulaiman ALYAHYA,KSA,5.8,0.0,0.0
aman VERMA,IND,5.8,9.0,14.8
vin SUKAPANPOTHARAM,THA,5.8,0.0,0.0
quitugua MICHAEL,GUM,5.8,0.0,0.0
gabriel LANCHEROS POVEDA,COL,5.0,0.0,0.0
jakub ZIETEK,POL,5.0,0.0,0.0
julian WIMMER,AUT,5.0,0.0,0.0
victor BAUDRAND,CAN,5.0,39.3,44.3
bingtang WANG,CHN,5.0,0.0,0.0
tim WÜRTHNER,GER,4.5,0.0,0.0
corentin LAPORTE,BEL,4.5,5.0,9.5
jair octavio MORENO MONTOYA,MEX,4.5,6.0,10.5
jan STIPEK,CZE,4.3,142.5,146.8
christos SOFOKLEOUS,CYP,4.2,7.0,11.2
azat MAIKOTOV,KAZ,4.2,8.0,12.2
taher ALHADDAD,KSA,4.2,8.0,12.2
donovan VICENTE,GUM,4.2,0.0,0.0
muhammad akif nukman NAZRILAZDIN,MAS,4.2,0.0,0.0
axel LINDFORS,FIN,4.0,0.0,0.0
william FLORES,PUR,4.0,8.0,12.0
yago GANCEDO,MEX,3.3,0.0,0.0
rolands RUGENS,LAT,3.0,0.0,0.0
simon POTUCEK,CZE,3.0,50.5,40.0
owen PALMER,AUS,3.0,0.0,0.0
roman SIVAKOV,LTU,3.0,0.0,0.0
gianfranco DIAZ,VEN,3.0,0.0,0.0
ming shu GAN,TPE,3.0,0.0,0.0
muhammad ayman FIRAS,MAS,3.0,0.0,0.0
albin MEYER,SWE,2.0,11.0,13.0
suraj SINGH,IND,2.0,0.0,0.0
meritas BABILAS,LTU,2.0,0.0,0.0
tuukka SIMONEN,FIN,2.0,0.0,0.0
mateus RODRIGUES BELLOTTO,BRA,2.0,0.0,0.0
mark SCANLON,IRL,1.0,0.0,0.0
garcía fernández del valle PEDRO,MEX,1.0,0.0,0.0
joshua kyri STELIOU,CYP,1.0,0.0,0.0
filip MATEJIČKA,SVK,1.0,0.0,0.0
per RAVLO-CASPERSEN,NOR,1.0,3.0,4.0
shion OMATA,JPN,0.0,3190.0,0.0
zento MURASHITA,JPN,0.0,2990.0,0.0
taisei HOMMA,JPN,0.0,2235.0,0.0
shuta TANAKA,JPN,0.0,2002.0,0.0
ao YURIKUSA,JPN,0.0,1935.0,0.0
max BERTONE,FRA,0.0,1743.0,0.0
yuta IMAIZUMI,JPN,0.0,1483.0,0.0
kibeom KWON,KOR,0.0,1345.0,0.0
masahiro HIGUCHI,JPN,0.0,964.0,0.0
sebastian HALENKE,GER,0.0,726.5,0.0
mototaka ISHIZU,JPN,0.0,724.0,0.0
giovanni PLACCI,ITA,0.0,660.0,0.0
nino GRÜNENFELDER,SUI,0.0,520.0,0.0
ties VANCRAEYNEST,BEL,0.0,497.0,0.0
philipp MARTIN,GER,0.0,421.0,0.0
christoph HANKE,GER,0.0,405.0,0.0
jules MARCHALAND,FRA,0.0,339.0,0.0
hyunbin MIN,KOR,0.0,237.0,0.0
shinyeong YUN,KOR,0.0,220.0,0.0
declan OSGOOD,USA,0.0,190.7,0.0
jordi POLES,FRA,0.0,130.5,0.0
ross FULKERSON,USA,0.0,130.0,0.0
max DINGER,GER,0.0,98.0,0.0
musauwir MUSAUWIR,INA,0.0,95.0,0.0
fahim KHANDEL,AUS,0.0,92.0,0.0
jesse GRUPPER,USA,0.0,84.0,547.0
cruz PADILLA,USA,0.0,82.0,0.0
lucas DUFROS,FRA,0.0,67.0,0.0
arsène DUVAL,FRA,0.0,64.0,0.0
hakjin LEE,KOR,0.0,56.0,0.0
alejo SUTER,ARG,0.0,50.0,0.0
jimi SMYRK,AUS,0.0,50.0,0.0
leo AVEZOU,FRA,0.0,50.0,0.0
felix MADER,AUT,0.0,48.0,0.0
hyunseung NOH,KOR,0.0,42.0,0.0
dimitri FLICK,SUI,0.0,41.0,0.0
nao MONCHOIS,FRA,0.0,39.0,0.0
radin FOROUGHIAN,IRI,0.0,37.0,0.0
davide marco COLOMBO,ITA,0.0,37.0,0.0
leyroy HARLEY,AUS,0.0,35.0,0.0
darius RÂPĂ,ROU,0.0,35.0,0.0
lovro CREP,SLO,0.0,34.5,0.0
mikel asier LINACISORO MOLINA,ESP,0.0,32.0,0.0
guoqing NI,CHN,0.0,32.0,0.0
milan PRESKAR,SLO,0.0,28.0,0.0
matias gabriel MENDOZA,ARG,0.0,25.0,0.0
liam ULLMAN,AUS,0.0,21.0,0.0
león PINO,CHI,0.0,20.0,0.0
rhys CONLON,GBR,0.0,15.0,0.0
sanghyeon HAN,KOR,0.0,15.0,0.0
johannes HOFHERR,AUT,0.0,14.7,0.0
gorazd JUREKOVIC,SLO,0.0,12.5,0.0
maël GRENIER,FRA,0.0,11.0,0.0
elliot ERIKSSON,SWE,0.0,11.0,0.0
seyedmohammadzaniar EBRAHIMI,IRI,0.0,10.0,0.0
andy BROWN,AUS,0.0,10.0,0.0
renan DENARDO,BRA,0.0,9.0,0.0
poksakon CHOTIKKRAI,THA,0.0,9.0,0.0
kindar MCNAMEE,CAN,0.0,9.0,0.0
muhammed oğuz KAĞANOĞLU,TUR,0.0,9.0,0.0
joseph WALMSLEY,GBR,0.0,8.0,0.0
mel JANSE VAN RENSBURG,RSA,0.0,8.0,396.0
alexey PANFILOV,KAZ,0.0,8.0,0.0
luka JERMAN,SLO,0.0,7.5,0.0
emilio FLORES,GUA,0.0,7.0,0.0
hugo PARMENTIER,FRA,0.0,7.0,0.0
nidhal DAQNAH,KSA,0.0,7.0,0.0
yuping MEI,CHN,0.0,6.0,0.0
nima SANGZHU,CHN,0.0,6.0,0.0
mohammad GARAKANI,IRI,0.0,6.0,0.0
ege DUMAN,TUR,0.0,6.0,0.0
allen LACTAOEN,GUM,0.0,6.0,0.0
stanley AU,GUM,0.0,6.0,0.0
samo GOLOB,SLO,0.0,5.0,0.0
gianstefano DI NINO,VEN,0.0,4.0,0.0
mark BRAND,NED,0.0,4.0,0.0
michail VOLYRAKIS,GRE,0.0,3.0,0.0
eliáš KYSELA,SVK,0.0,3.0,0.0
illia BAKHMET-SMOLENSKYI,UKR,0.0,3.0,0.0
juan sebastian SANCHEZ MARTIN,COL,0.0,2.0,0.0
gergő VÁLYI,HUN,0.0,2.0,0.0
marco BAUHOFER,AUT,0.0,1.0,0.0
mykyta MYRONENKO,UKR,0.0,1.0,0.0
