name,country,gender,boulder_points,lead_points,combined_points
ronny ESCOBAR,CHI,male,41.0,,
guy MCNAMEE,CAN,male,40.5,2.0,42.5
ben ABEL,AUS,male,40.0,,
matic KOTAR,SLO,male,36.5,,
darius RÂPĂ,ROU,male,35.5,35.0,70.5
xuanpu BAI,CHN,male,35.5,,
hyunseung NOH,KOR,male,35.5,42.0,77.5
dylan SMITH,CAN,male,35.0,,
iman AREZEH,IRI,male,35.0,,
luka SUGIMOTO-FAULKNER,NZL,male,33.0,,
alexandru-florian ZAHARIA,ROU,male,30.4,,
sean MCCOLL,CAN,male,29.0,29.0,29.0
michael O'NEILL,IRL,male,27.5,1.0,28.5
max THOMAS,AUS,male,27.0,,
yonatan KATZ,ISR,male,27.0,,
jack BURNINGHAM,RSA,male,25.5,,
chua DENNIS,SGP,male,23.7,,
marcello BOMBARDI,ITA,male,21.0,58.0,58.0
dylan SOIN,AUS,male,21.0,12.5,33.5
ian TAN,CAN,male,21.0,,
lasse VON FREIER,GER,male,18.0,,
giorgio TOMATIS,ITA,male,18.0,554.5,398.0
dante CABALLERO,CHI,male,18.0,5.0,23.0
samuel carlos DA SILVA,BRA,male,17.5,10.0,27.5
lucas TRANDAFIR,GER,male,17.5,,
nimród sebestyén TUSNÁDY,HUN,male,17.0,17.3,20.3
tomer YAKOBOVITCH,ISR,male,17.0,,
ned MIDDLEHURST,AUS,male,17.0,,
samuel BUTTERWORTH,GBR,male,16.0,,
beomjin PARK,KOR,male,16.0,,
zach GALLA,USA,male,16.0,,
dragoș gabriel FLUERARU,ROU,male,16.0,,
ali SALIMIAN,IRI,male,15.9,,
seungchan CHOI,KOR,male,15.3,11.0,26.3
james POPE,GBR,male,15.0,15.0,15.0
sungjoon CHAE,KOR,male,14.8,,
julian WIMMER,AUT,male,14.0,,
ilja AUERSPERG,AUT,male,13.5,,
christopher COSSER,RSA,male,13.5,,
călin ENACHE,ROU,male,13.3,,
felipe HO FOGANHOLO,BRA,male,12.0,22.5,34.5
finlay CATE,NZL,male,12.0,,
peter KURIC,SVK,male,11.5,5.0,16.5
pietro BIAGINI,ITA,male,11.5,,
leonardo MAGALLANES TEJADA,MEX,male,11.0,,
qun tao KE,MAS,male,11.0,21.0,32.0
tzu-yu CHOU,TPE,male,11.0,10.0,21.0
jonas KÖRNER,GER,male,10.5,,
wan tong LOK,MAC,male,10.3,11.0,21.3
sungbo SEO,KOR,male,10.0,,
gerald BAYO VEROSIL,SGP,male,10.0,,
theis lindegren ELFENBEIN,DEN,male,9.0,,
mikel PAZ Y PUENTE HOFMANN,MEX,male,9.0,,
alexander t CVETKOVSKI,AUS,male,9.0,,
dohyeon KIM,KOR,male,8.7,,
julian SCHRITTWIESER,AUT,male,8.0,,
michael PICCOLRUAZ,ITA,male,7.4,,
taher ALHADDAD,KSA,male,7.2,8.0,15.2
mickael MAWEM,FRA,male,7.0,7.0,
kenu PUERTA WONG,PER,male,7.0,,
nathan WHALEY,GBR,male,6.0,,
alexandre NOËL,BEL,male,6.0,8.0,14.0
nathan SATO,USA,male,6.0,84.0,90.0
tyler BERGIN,AUS,male,6.0,,
quitugua MICHAEL,GUM,male,5.8,,
aman VERMA,IND,male,5.8,9.0,14.8
vin SUKAPANPOTHARAM,THA,male,5.8,,
sulaiman ALYAHYA,KSA,male,5.8,,
chuluunbaatar MANDAKHBAYAR,MGL,male,5.8,7.0,12.8
jakub ZIETEK,POL,male,5.0,,
gabriel LANCHEROS POVEDA,COL,male,5.0,,
joshua GERHARDT,USA,male,5.0,,
corentin LAPORTE,BEL,male,4.5,5.0,9.5
yongchen CHEN,CHN,male,4.5,7.0,11.5
jair octavio MORENO MONTOYA,MEX,male,4.5,6.0,10.5
emil ZIMMERMANN,GER,male,4.5,,
jan STIPEK,CZE,male,4.3,142.5,146.8
christos SOFOKLEOUS,CYP,male,4.2,7.0,11.2
muhammad akif nukman NAZRILAZDIN,MAS,male,4.2,,
donovan VICENTE,GUM,male,4.2,,
azat MAIKOTOV,KAZ,male,4.2,8.0,12.2
axel LINDFORS,FIN,male,4.0,,
william FLORES,PUR,male,4.0,8.0,12.0
vishak OOMMEN SHANKER,IND,male,3.5,,
owen PALMER,AUS,male,3.0,,
simon POTUCEK,CZE,male,3.0,39.5,38.5
rolands RUGENS,LAT,male,3.0,,
roman SIVAKOV,LTU,male,3.0,,
gianfranco DIAZ,VEN,male,3.0,,
yousef FATANI,KSA,male,3.0,,
man hou LAM,MAC,male,3.0,,
suraj SINGH,IND,male,2.0,,
albin MEYER,SWE,male,2.0,11.0,13.0
hossein FAMILROHANI,IRI,male,2.0,,
meritas BABILAS,LTU,male,2.0,,
mateus RODRIGUES BELLOTTO,BRA,male,2.0,,
tuukka SIMONEN,FIN,male,2.0,,
joshua kyri STELIOU,CYP,male,1.0,,
garcía fernández del valle PEDRO,MEX,male,1.0,,
mark SCANLON,IRL,male,1.0,,
per RAVLO-CASPERSEN,NOR,male,1.0,3.0,4.0
filip MATEJIČKA,SVK,male,1.0,,
shion OMATA,JPN,male,,3030.0,
zento MURASHITA,JPN,male,,2380.0,
ao YURIKUSA,JPN,male,,1745.0,
max BERTONE,FRA,male,,1743.0,
shuta TANAKA,JPN,male,,1547.0,
taisei HOMMA,JPN,male,,1430.0,
kibeom KWON,KOR,male,,1345.0,
yuta IMAIZUMI,JPN,male,,1338.0,
sebastian HALENKE,GER,male,,726.5,
mototaka ISHIZU,JPN,male,,724.0,
masahiro HIGUCHI,JPN,male,,704.0,
giovanni PLACCI,ITA,male,,660.0,
nino GRÜNENFELDER,SUI,male,,511.0,
ties VANCRAEYNEST,BEL,male,,497.0,
philipp MARTIN,GER,male,,421.0,
christoph HANKE,GER,male,,363.0,
jules MARCHALAND,FRA,male,,339.0,
shinyeong YUN,KOR,male,,220.0,
hyunbin MIN,KOR,male,,164.0,
jordi POLES,FRA,male,,130.5,
ross FULKERSON,USA,male,,130.0,
max DINGER,GER,male,,98.0,
jesse GRUPPER,USA,male,,84.0,547.0
lucas DUFROS,FRA,male,,67.0,
arsène DUVAL,FRA,male,,64.0,
hakjin LEE,KOR,male,,56.0,
leo AVEZOU,FRA,male,,50.0,
felix MADER,AUT,male,,48.0,
dimitri FLICK,SUI,male,,41.0,
nao MONCHOIS,FRA,male,,39.0,
davide marco COLOMBO,ITA,male,,37.0,
radin FOROUGHIAN,IRI,male,,37.0,
lovro ČREP,SLO,male,,34.5,
auswin AUEAREECHIT,THA,male,,34.0,
mikel asier LINACISORO MOLINA,ESP,male,,32.0,
victor BAUDRAND,CAN,male,,30.0,
milan PRESKAR,SLO,male,,28.0,
guoqing NI,CHN,male,,25.0,
sanghyeon HAN,KOR,male,,15.0,
rhys CONLON,GBR,male,,15.0,
johannes HOFHERR,AUT,male,,14.7,
gorazd JUREKOVIC,SLO,male,,12.5,
elliot ERIKSSON,SWE,male,,11.0,
maël GRENIER,FRA,male,,11.0,
seyedmohammadzaniar EBRAHIMI,IRI,male,,10.0,
poksakon CHOTIKKRAI,THA,male,,9.0,
muhammed oğuz KAĞANOĞLU,TUR,male,,9.0,
joseph WALMSLEY,GBR,male,,8.0,
mel JANSE VAN RENSBURG,RSA,male,,8.0,396.0
alexey PANFILOV,KAZ,male,,8.0,
luka JERMAN,SLO,male,,7.5,
nidhal DAQNAH,KSA,male,,7.0,
hugo PARMENTIER,FRA,male,,7.0,
declan OSGOOD,USA,male,,6.7,
stanley AU,GUM,male,,6.0,
allen LACTAOEN,GUM,male,,6.0,
mohammad GARAKANI,IRI,male,,6.0,
ege DUMAN,TUR,male,,6.0,
samo GOLOB,SLO,male,,5.0,
mark BRAND,NED,male,,4.0,
michail VOLYRAKIS,GRE,male,,3.0,
eliáš KYSELA,SVK,male,,3.0,
illia BAKHMET-SMOLENSKYI,UKR,male,,3.0,
gergő VÁLYI,HUN,male,,2.0,
kindar MCNAMEE,CAN,male,,2.0,
mykyta MYRONENKO,UKR,male,,1.0,
marco BAUHOFER,AUT,male,,1.0,
annie SANDERS,USA,female,3365.0,2590.0,4565.0
mao NAKAMURA,JPN,female,2692.0,241.0,1956.0
natalia GROSSMAN,USA,female,2610.0,,3423.0
oceania MACKENZIE,AUS,female,2470.0,1272.0,3828.0
erin MCNEICE,GBR,female,2407.5,1730.0,4128.0
naïlé MEIGNAN,FRA,female,2175.0,,
oriane BERTONE,FRA,female,2065.0,48.0,3151.0
miho NONAKA,JPN,female,2004.0,708.0,2954.0
anon MATSUFUJI,JPN,female,1898.8,,
melody SEKIKAWA,JPN,female,1798.0,,
chaehyun SEO,KOR,female,1793.0,2356.0,3851.0
zélia AVEZOU,FRA,female,1777.0,1781.0,3363.0
brooke RABOUTOU,USA,female,1545.0,1000.0,3558.0
jennifer eucharia BUCKLEY,SLO,female,1535.0,560.0,2095.0
agathe CALLIET,FRA,female,1425.8,,
katja DEBEVEC,SLO,female,1415.8,27.0,867.0
anna maria APEL,GER,female,1184.8,,
futaba ITO,JPN,female,1136.0,603.0,1291.0
jessica PILZ,AUT,female,1045.0,3220.0,5140.0
janja GARNBRET,SLO,female,1000.0,2000.0,5500.0
lucia DÖRFFEL,GER,female,926.0,384.0,998.0
ayala KEREM,ISR,female,877.5,151.0,988.5
sofya YOKOYAMA,SUI,female,861.8,,
zhilu LUO,CHN,female,844.5,948.0,2134.5
fanny GIBERT,FRA,female,751.5,95.0,731.5
alma BESTVATER,GER,female,712.2,,
kyra CONDIE,USA,female,710.2,58.0,642.8
lucija TARKUS,SLO,female,644.0,770.0,975.0
ai MORI,JPN,female,636.7,2610.0,4771.7
afra HÖNIG,GER,female,629.5,,
ievgeniia KAZBEKOVA,UKR,female,618.0,686.0,1666.0
yuetong ZHANG,CHN,female,574.3,870.0,2133.8
camilla MORONI,ITA,female,569.5,630.0,1517.5
kylie CULLEN,USA,female,515.5,46.0,519.5
laura ROGORA,ITA,female,505.5,2288.0,2531.0
madison RICHARDSON,CAN,female,493.2,,
giorgia TESIO,ITA,female,486.5,30.0,427.0
adriene akiko CLARK,USA,female,475.0,61.0,536.0
