name,country,boulder_points,lead_points
eugenie LEE,GBR,13.0,0.0
melissa esther CHEN CHEN,PER,13.0,9.0
eliska ADAMOVSKA,CZE,13.0,22.0
yubin HONG,KOR,13.0,21.0
chunhua WU,CHN,11.5,96.0
sunniva eik HAAVE,NOR,11.3,0.0
sienna PEREZ,USA,11.0,0.0
niamh ALLDRED,AUS,11.0,0.0
emilia CALLANAN,CAN,11.0,0.0
lea SLOBODOVÁ,SVK,11.0,0.0
pak chi SOU,MAC,9.7,0.0
ka kei CHU,MAC,9.7,0.0
kylie BAKER,GUM,9.7,8.0
shin yee CHEN,MAS,9.7,11.0
anna BOLIUS,AUT,8.0,0.0
jingyu LI,CHN,8.0,0.0
viktorie KONECNA,CZE,7.7,0.0
marketa JANOSOVA,CZE,7.7,26.0
arta CELITANE,LAT,7.7,0.0
arantza LUNA VELASCO,MEX,7.0,0.0
natalia de jesús GONZÁLEZ,MEX,7.0,0.0
bianka JANECKA,POL,7.0,0.0
irina DAZIANO,ITA,7.0,0.0
ariane FRANKEN,AUT,6.5,0.0
evdoxia-aikaterini KALLIA,GRE,6.5,0.0
tahani ALGOUHI,KSA,6.5,0.0
roxy PERRY,AUS,6.5,157.5
nonoha KUME,JPN,6.0,6.0
valeri KREMER,ISR,6.0,107.0
louise FLOCKHART,GBR,6.0,0.0
anja SANTINI MIKULIĆ,CRO,6.0,5.5
si wan LEI,MAC,6.0,11.0
regine STORÅ,NOR,6.0,0.0
yun-shan HSIEH,TPE,6.0,5.0
mariana HANGGI CORREIA,BRA,5.0,0.0
rosa ARNOLD,FIN,5.0,0.0
regina SALAZAR PUGA,MEX,5.0,0.0
tihana PICOT,AUS,5.0,0.0
sui lin renee TAN,MAS,4.5,0.0
iris-olivia RIZAN,ROU,4.3,0.0
laura LOIKAS,FIN,4.3,0.0
katharina BERGMANN,AUT,2.8,0.0
karla ZRINSKI,CRO,2.8,10.0
valissya MAY,BUL,2.8,3.0
prateeksha ARUN,IND,2.0,0.0
federica PAPETTI,ITA,1.5,8.0
sina WILLY,AUT,1.0,0.0
lukka mörk BLOMSTERBERG,ISL,1.0,0.0
ariane JANATA-BURNS,RSA,1.0,0.0
mei KOTAKE,JPN,0.0,2558.0
mattea PÖTZI,AUT,0.0,2470.0
natsumi ODA,JPN,0.0,1612.0
natsuki TANII,JPN,0.0,1580.0
