name,url,highest_grade,count_8c_plus,avg_grade_first5
Victor Baudrand,https://www.8a.nu/user/victor-baudrand,24,2.0,21.64
Milan Preskar,https://www.8a.nu/user/milan-preskar,23,,20.12
Rhys Conlon,https://www.8a.nu/user/rhys-conlon,23,,19.95
Johannes Hofherr,https://www.8a.nu/user/johannes-hofherr,25,7.0,22.08
Elliot Eriksson,https://www.8a.nu/user/elliot-eriksson,20,,17.5
Maël Grenier,https://www.8a.nu/user/mael-grenier,24,1.0,21.67
Mel Janse Van Rensburg,https://www.8a.nu/user/mel-janse-van-rensburg,25,3.0,22.0
Hugo Parmentier,https://www.8a.nu/user/hugo-parmentier,27,22.0,24.17
Ege Duman,https://www.8a.nu/user/ege-duman-po43o,22,,19.0
Mark Brand,https://www.8a.nu/user/mark-brand-34055,25,1.0,21.02
Eliáš Kysela,https://www.8a.nu/user/elias-kysela,25,8.0,22.83
Illia Bakhmet-Smolenskyi,https://www.8a.nu/user/illya-bakhmet-smolenskyi,25,17.0,22.46
Oriane Bertone,https://www.8a.nu/user/oriane-bertone-5nw5o,24,2.0,21.31
Brooke Raboutou,https://www.8a.nu/user/brooke-raboutou,23,,20.33
Agathe Calliet,https://www.8a.nu/user/agathe-calliet,20,,18.73
Jessica Pilz,https://www.8a.nu/user/jessica-pilz,26,7.0,22.12
Lucia Dörffel,https://www.8a.nu/user/lucia-doerffel,23,,21.17
Fanny Gibert,https://www.8a.nu/user/fanny-gibert,21,,18.89
Lucija Tarkus,https://www.8a.nu/user/lucija-tarkus,24,1.0,21.08
Ai Mori,https://www.8a.nu/user/ai-mori,19,,19.0
Afra Hönig,https://www.8a.nu/user/afra-hoenig,18,,15.42
Camilla Moroni,https://www.8a.nu/user/camilla-moroni,22,,19.22
Kylie Cullen,https://www.8a.nu/user/kylie-cullen,22,,18.73
Laura Rogora,https://www.8a.nu/user/laura-rogora-26514,25,6.0,22.29
Giorgia Tesio,https://www.8a.nu/user/giorgia-tesio-f,22,,19.0
Chloe Caulier,https://www.8a.nu/user/chloe-caulier,20,,18.0
Franziska Sterrer,https://www.8a.nu/user/ziska-su,15,,12.15
Mia Krampl,https://www.8a.nu/user/mia-krampl,23,,20.46
Molly Thompson-Smith,https://www.8a.nu/user/molly-thompson-smith,23,,20.57
Cloe Coscoy,https://www.8a.nu/user/cloe-coscoy,19,,17.5
Andrea Kümin,https://www.8a.nu/user/andrea-kuemin,23,,20.17
Manon Hily,https://www.8a.nu/user/manon-hily,24,5.0,21.26
Stasa Gejo,https://www.8a.nu/user/stasa-gejo,23,,19.98
Zoe Peetermans,https://www.8a.nu/user/zoe-peetermans,19,,17.35
Michaela Smetanova,https://www.8a.nu/user/michaela-smetanova,20,,17.38
Vita Lukan,https://www.8a.nu/user/vita-lukan,24,2.0,21.57
Ingrid Kindlihagen,https://www.8a.nu/user/ingrid-kindlihagen-71248,21,,18.27
Alejandra Contreras,https://www.8a.nu/user/alejandra-contreras,14,,11.5
Alannah Yip,https://www.8a.nu/user/alannah-yip,18,,16.0
