name,country,boulder_points,lead_points
zach GALLA,USA,16.0,0.0
dragoș gabriel FLUERARU,ROU,16.0,0.0
seungchan CHOI,KOR,15.3,11.0
james POPE,GBR,15.0,15.0
wan tong LOK,MAC,14.8,11.0
sungjoon CHAE,KOR,14.8,0.0
ilja AUERSPERG,AUT,13.5,0.0
christopher COSSER,RSA,13.5,0.0
călin ENACHE,ROU,13.3,0.0
ali SALIMIAN,IRI,13.0,5.0
felipe HO FOGANHOLO,BRA,12.0,65.5
finlay CATE,NZL,12.0,0.0
peter KURIC,SVK,11.5,5.0
pietro BIAGINI,ITA,11.5,0.0
leonardo MAGALLANES TEJADA,MEX,11.0,0.0
jonas KÖRNER,GER,10.5,0.0
qun tao KE,MAS,10.3,26.0
sungbo SEO,KOR,10.0,0.0
ziqi XU,CHN,10.0,0.0
theis lindegren ELFENBEIN,DEN,9.0,0.0
mikel PAZ Y PUENTE HOFMANN,MEX,9.0,0.0
alexander t CVETKOVSKI,AUS,9.0,0.0
dohyeon KIM,KOR,8.7,0.0
yongchen CHEN,CHN,8.5,26.0
hossein FAMILROHANI,IRI,8.5,6.0
julian SCHRITTWIESER,AUT,8.0,0.0
kenu PUERTA WONG,PER,7.0,0.0
auswin AUEAREECHIT,THA,7.0,47.0
tzu-yu CHOU,TPE,7.0,15.0
nathan SATO,USA,6.0,334.0
alexandre NOËL,BEL,6.0,8.0
tyler BERGIN,AUS,6.0,0.0
chuluunbaatar MANDAKHBAYAR,MGL,5.8,7.0
sulaiman ALYAHYA,KSA,5.8,0.0
aman VERMA,IND,5.8,9.0
vin SUKAPANPOTHARAM,THA,5.8,0.0
quitugua MICHAEL,GUM,5.8,0.0
gabriel LANCHEROS POVEDA,COL,5.0,0.0
jakub ZIETEK,POL,5.0,0.0
julian WIMMER,AUT,5.0,0.0
victor BAUDRAND,CAN,5.0,39.3
bingtang WANG,CHN,5.0,0.0
tim WÜRTHNER,GER,4.5,0.0
corentin LAPORTE,BEL,4.5,5.0
jair octavio MORENO MONTOYA,MEX,4.5,6.0
jan STIPEK,CZE,4.3,142.5
christos SOFOKLEOUS,CYP,4.2,7.0
azat MAIKOTOV,KAZ,4.2,8.0
taher ALHADDAD,KSA,4.2,8.0
