name,country,gender,boulder_points,lead_points,combined_points,highest_grade,count_8c_plus,avg_grade_first5
raviandi RAMADHAN,INA,male,72.0,258.0,279.0,0,0,0.0
paul BRAND,NED,male,71.0,0.0,0.0,8b+,0,19.12
nathan MARTIN,LUX,male,69.2,0.0,0.0,0,0,0.0
marley FARQUHARSON,AUS,male,69.0,0.0,0.0,0,0,0.0
adrien LEMAIRE,FRA,male,65.0,0.0,0.0,0,0,0.0
antoine GIRARD,FRA,male,62.0,0.0,0.0,8a,0,17.67
joshua DAMASCO,AUS,male,57.0,0.0,0.0,0,0,0.0
cheuk-hei HO,HKG,male,54.0,0.0,0.0,0,0,0.0
dillon COUNTRYMAN,USA,male,52.0,0.0,0.0,0,0,0.0
yuval SHEMLA,ISR,male,51.0,355.0,344.0,8a+,0,19.5
alex KHAZANOV,ISR,male,49.0,49.0,49.0,9a,6,22.77
jesse RUFFINI,AUS,male,48.0,0.0,0.0,0,0,0.0
guy MCNAMEE,CAN,male,47.0,16.0,63.0,0,0,0.0
leo FAVOT,FRA,male,47.0,0.0,0.0,0,0,0.0
pietro VIDI,ITA,male,41.0,0.0,0.0,9a,9,22.26
ben ABEL,AUS,male,40.0,0.0,0.0,0,0,0.0
rodrigo IASI HANADA,BRA,male,36.5,19.5,56.0,8c,0,19.27
matic KOTAR,SLO,male,36.5,0.0,0.0,0,0,0.0
jinwei YAO,CHN,male,34.5,85.0,119.5,0,0,0.0
luka SUGIMOTO-FAULKNER,NZL,male,33.0,0.0,0.0,0,0,0.0
hugo HOYER,USA,male,32.2,37.0,62.7,8a+,0,18.5
jiahao FU,CHN,male,32.0,0.0,0.0,0,0,0.0
iman AREZEH,IRI,male,31.5,0.0,0.0,0,0,0.0
sean MCCOLL,CAN,male,29.0,29.0,29.0,0,0,0.0
zach RICHARDSON,CAN,male,28.3,0.0,0.0,0,0,0.0
chih-en FAN,TPE,male,27.8,111.0,138.8,0,0,0.0
michael O'NEILL,IRL,male,27.5,1.0,28.5,0,0,0.0
yonatan KATZ,ISR,male,27.0,0.0,0.0,0,0,0.0
max THOMAS,AUS,male,27.0,0.0,0.0,7c,0,14.1
jack BURNINGHAM,RSA,male,25.5,0.0,0.0,0,0,0.0
raffael GRUBER,AUT,male,23.7,0.0,0.0,8a,0,19.0
chua DENNIS,SGP,male,23.7,0.0,0.0,0,0,0.0
alexandru-florian ZAHARIA,ROU,male,23.0,0.0,0.0,0,0,0.0
marcello BOMBARDI,ITA,male,21.0,58.0,58.0,9a+,27,23.05
dylan SOIN,AUS,male,21.0,12.5,33.5,0,0,0.0
simon HIBBELER,USA,male,19.0,0.0,0.0,0,0,0.0
